Priority,PMID,Title,Reason,R1_Decision,R1_Notes,R2_Decision,R2_Notes,Consensus
EXCLUDE,11340704,[Acute traumatic rupture of the thoracic aorta and its branc,WP: No rib fracture focus,,,,,
EXCLUDE,11509269,Pulmonary function testing after operative stabilisation of ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,11515905,Operative stabilization of a flail chest six years after inj,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,11587704,Operative stabilisation of painful non-united multiple rib f,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,11820411,Assessing the severity of truncal gunshot wounds: a nation-w,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,11956391,Surgical stabilization of internal pneumatic stabilization? ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,11990843,Traumatic thoracic spinal fracture dislocation with minimal ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,12030045,[Early surgical stabilization of the thorax].,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,12103366,Transcutaneous electrical nerve stimulation for pain managem,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,1222462,[Flail chest in a child. Cure by the combination of osteosyn,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,12238872,Traumatic extrathoracic lung herniation.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,1235693,[Surgical treatment of fractures in persons with multiple in,WP: No rib fracture focus,,,,,
EXCLUDE,1235711,[Multiple injuries at the surgical department of the militar,WP: No rib fracture focus,,,,,
EXCLUDE,1270498,The management of thoracic and thoraco-lumbar injuries of th,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,1285977,[Diagnosis and treatment of complex closed chest injuries].,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,12950135,Acute myocardial infarction caused by coronary artery dissec,WP: No rib fracture focus,,,,,
EXCLUDE,13523170,Stove-in chest; a new method of internal fixation.,WP: No rib fracture focus,,,,,
EXCLUDE,14435553,[Severe thoracic injury. Costal break: immediate osteosynthe,WP: No rib fracture focus,,,,,
EXCLUDE,14446398,[Experimental principles of the treatment of rib fractures i,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,14510113,Penetrating chest injuries in civilian practice.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,14569483,[Clinical results of four hundred and twenty-four cases with,WP: No rib fracture focus,,,,,
EXCLUDE,14569484,[Chest trauma: analysis of 592 cases].,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,14608152,Absorbable plates for rib fracture repair: preliminary exper,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,14743032,Intrathoracic humeral head fracture-dislocation.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,14977734,Open fixation in flail chest: review of 64 patients.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,15074182,[Successful conservative management in two patients with a t,WP: No rib fracture focus,,,,,
EXCLUDE,15103568,[Flail chest due to blunt trauma: clinical features and fact,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,15353456,Factors affecting early exsanguination and death in blunt th,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,15370594,Early intramedullary nailing of lower extremity fracture and,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,15581318,Surgical repair of rib fractures in 14 neonatal foals: case ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,15628710,Achalasia presenting after operative and nonoperative trauma,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,15674171,Operative chest wall fixation with osteosynthesis plates.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,15919275,Successful conservative management in iatrogenic tracheobron,WP: No rib fracture focus,,,,,
EXCLUDE,1616723,Blunt chest injuries in 1696 patients.,WP: No rib fracture focus,,,,,
EXCLUDE,16212597,Multiple rib fracture in a neonatal foal using a nylon stran,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,16214360,New insights into the pathophysiology of flail segment: the ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,16308678,"[Elastic, stable intramedullary nailing in midclavicular fra",CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,16322967,[Does timing of thoracic spine stabilization influence perio,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,16582522,[Primary hyperparathyroidism complicated with flail chest du,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,16631702,Chronic heart perforation with 13.5 cm long Kirschner wire w,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,16675244,Operative stabilization of flail chest using a prosthetic me,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,16770235,Contrast-enhanced cardiac MRI in blunt chest trauma: differe,WP: No rib fracture focus,,,,,
EXCLUDE,16825964,Open clavicle fractures and associated injuries.,WP: No rib fracture focus,,,,,
EXCLUDE,16831441,Geometry of human ribs pertinent to orthopedic chest-wall re,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,1693329,[Is there a favorable time for the management of femoral sha,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,17029121,[The factors affecting the morbidity and mortality in chest ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,17058657,[Surgical fixation of the ribs for flail chest injuries].,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,17110887,Intrathoracic fracture-dislocation of the proximal humerus: ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,17227272,Conservative management of flail chest after cardiopulmonary,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,17262180,[Respiratory failure in thoracic spine injuries. Does the ti,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,17658097,Operative fixation of chest wall fractures: an underused pro,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,17711959,Bilateral fractured clavicles with multiple rib fractures.,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,17906799,Trauma-related thoracoplasty: case report.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,17984019,[Successful cardiac surgical removal of migrated Kirschner w,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,18098083,[Severe injury to the chest wall--experience with surgical t,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,18297467,Delayed sudden cardiac arrest induced by aortic injury with ,WP: No rib fracture focus,,,,,
EXCLUDE,18469648,Reduction of rib fractures with a bioresorbable plating syst,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,18469649,"Biomechanical testing of a novel, minimally invasive rib fra",CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,1864750,[Significance of rib fractures in simple and multiple trauma,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,1874102,[Internal fixation of fractured ribs with Kirschner wires fo,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,18803979,Management of acute clavicle fractures.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,18941102,Acute traumatic thoracic aortic injuries: experience with 64,WP: No rib fracture focus,,,,,
EXCLUDE,18949513,"Rib fracture repair: indications, technical issues, and futu",CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19092011,Fractures of the upper transthoracic cage.,WP: No rib fracture focus,,,,,
EXCLUDE,19276767,"Surveyed opinion of American trauma, orthopedic, and thoraci",WP: No rib fracture focus,,,,,
EXCLUDE,19339725,Clinical problem-solving. A question well put.,WP: No rib fracture focus,,,,,
EXCLUDE,19351464,Misunderstood cardiac involvement with heart impairment in t,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,1938460,[The unstable thoracic wall: possibilities for treatment].,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19408603,Initial experience with external thoracic stabilization by t,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19419619,Chronic transverse sternal fracture. Role of CT scan and rep,WP: No rib fracture focus,,,,,
EXCLUDE,19522211,[Tracheostenosis caused by blunt thoracic trauma].,WP: No rib fracture focus,,,,,
EXCLUDE,19527946,Novel use of hand fracture fixation plates in the surgical s,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,19569596,[The two-stage surgical stabilization of the chest wall trau,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19573871,Evaluation of intramedullary rib splints for less-invasive s,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19590301,Treatment of chest wall implosion injuries without thoracoto,WP: No rib fracture focus,,,,,
EXCLUDE,19590338,Spontaneous fractures of Judet struts.,WP: No rib fracture focus,,,,,
EXCLUDE,19674423,Multiple rib fracture repair in a neonatal Holstein calf.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19704278,Reoperative surgical stabilization of a painful nonunited ri,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19741406,Surgical stabilization of rib fractures using Inion OTPS wra,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19760385,[Intrathoracic hernia after laparoscopic nephrectomy: clinic,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19787475,[Operative stabilization of traumatic flail chest using a re,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19815423,Chest wall reconstruction with a titanium rib bridge for pos,WP: No rib fracture focus,,,,,
EXCLUDE,19877774,Circumferential fixation with craniofacial miniplates for a ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19901662,Resuscitation before stabilization of femoral fractures limi,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19902768,[Treatment of fracture of multiple ribs with absorbable rib ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,19935113,Anatomically contoured plates for fixation of rib fractures.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,1998429,Strut fixation of an extensive flail chest.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20007637,Operative stabilization of skeletal chest injuries secondary,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20068479,Less-invasive stabilization of rib fractures by intramedulla,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20078530,Pilot study of operative fixation of fractured ribs in patie,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20093978,Biomechanical testing of two devices for internal fixation o,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20132505,Management and clinical outcomes of acute cardiac tamponade ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20214344,[High-age thoracic impalement injury treated by conservative,WP: No rib fracture focus,,,,,
EXCLUDE,20221577,[Herniation of the middle lobe of the right lung due to a co,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,20453773,Mode of failure of rib fixation with absorbable plates: a cl,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,2052941,[Surgical stabilization of thoracic wall fractures].,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20539173,Selective nonoperative management of torso gunshot wounds: w,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20638653,[Surgical fixation of rib fractures with clips and titanium ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20670587,Acute traumatic subclavian artery thrombosis and its success,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,20718981,Are chest compressions safe for the patient reconstructed wi,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20726406,Rib fracture fixation: controversies and technical challenge,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,20974431,Surgical management of chest wall trauma.,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,21161746,Outcomes of nonoperatively treated displaced scapular body f,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21209274,"Operative treatment of chest wall injuries: indications, tec",CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21243572,Factors affecting morbidity and mortality in flail chest: co,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,21244706,Pattern and outcome of chest injuries at Bugando Medical Cen,WP: No rib fracture focus,,,,,
EXCLUDE,21248650,The presence of nonthoracic distracting injuries does not af,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21443785,A case of a traumatic chyle leak following an acute thoracic,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21485580,[Treatment of complex scapular body fractures by locking rec,WP: No rib fracture focus,,,,,
EXCLUDE,21604035,[Occurrence of complex regional pain syndrome after intramed,WP: No rib fracture focus,,,,,
EXCLUDE,21604036,[Appearance of complex regional pain syndrome after intramed,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21629427,The use of nylon cable ties to repair rib fractures in neona,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21706805,[Internal fixation treatment of multiple rib fractures with ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21724181,[Another application of the STRATOS system for the correctio,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21729644,[A contribution of multidetector computed tomography to indi,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21763475,A prospective single center study to assess the impact of su,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21817910,Nonoperative management of anterior thoracoabdominal stab wo,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21841953,Biomechanical rationale and evaluation of an implant system ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,21870389,[Treatment of thoracalumbar fractures with pedicle-screw pla,WP: No rib fracture focus,,,,,
EXCLUDE,21870393,[Analysis of concurrent intravertebral vacuum sign in thorac,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22008858,Early surgical stabilization of flail chest with locked plat,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22182862,Minimal aortic injury after blunt trauma: selective nonopera,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22182898,Fixation of sternal fractures: a systematic review.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,2219541,[The surgical treatment of thoracic wall instability].,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22351879,The double jeopardy of blunt thoracoabdominal trauma.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22374073,Rib fixation for severe chest deformity due to multiple rib ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22442875,[Principles of the thoracic wall injury management].,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,22560319,Rib fracture fixation for flail chest: what is the benefit?,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,2263244,[Clinical results of selective treatment for flail chest].,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,2266261,Conservative management of flail chest.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22704606,Reconstruction of a massive thoracic defect: the use of anat,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22706659,[Polytrauma with pelvic fractures and severe thoracic trauma,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22767298,A new application of a wound retractor for chest wall surger,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,2292480,Costosynthetic stabilization of massive chest wall instabili,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22936227,Non operative management of gunshot wounds on the right thor,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,22943086,Operative management of flail chest with anatomical locking ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23006695,Nonoperative management of blunt traumatic cardiac rupture: ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23007016,Structural integrity of intramedullary rib fixation using a ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23036605,Predicting outcome of patients with chest wall injury.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23077892,Thoraco-abdominal injuries: the general surgeon's perspectiv,WP: No rib fracture focus,,,,,
EXCLUDE,23084501,Appropriate management of flail chest needs proper injury cl,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,23098197,Stress analysis of a centrally fractured rib fixated by an i,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23142996,[Late complications following blunt abdominal and thoracic t,WP: No rib fracture focus,,,,,
EXCLUDE,23204887,Management of pulmonary hernia through a flail segment in cl,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23287754,Surgical approaches for rib fracture fixation.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23415550,Prospective randomized controlled trial of operative rib fix,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23447473,Chest-wall reconstruction in case of infection of the operat,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23511840,Operative management of rib fractures in the setting of flai,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23541778,Delayed presentation of a thoracic aortic injury with a vert,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23569711,Multidisciplinary Approach to Lifesaving Measures in the Eld,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23627147,[Comparison of screw' inserting angle through the 11th and 1,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,2369204,Open fixation of flail chest after blunt trauma.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,23722899,Blunt thoracic aortic injuries: CT characterisation and trea,WP: No rib fracture focus,,,,,
EXCLUDE,23764613,The clinical application of absorbable intramedullary nail a,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,24075300,Surgical rib fixation for flail chest deformity improves lib,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24165085,An approach to surgical fixation of traumatic costosternal d,WP: No rib fracture focus,,,,,
EXCLUDE,24182470,Multidirectional thoracic wall stabilization: a new device o,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24296093,Disruptive technology in the treatment of thoracic trauma.,WP: No rib fracture focus,,,,,
EXCLUDE,24332957,[Use and versatility of titanium for the reconstruction of t,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24384499,Asymptomatic intracardiac migration of a Kirschner wire from,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24414144,Minimal aortic injury of the thoracic aorta: imaging appeara,WP: No rib fracture focus,,,,,
EXCLUDE,24426851,Successful treatment of a recalcitrant pleural effusion with,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24458047,The persistent diagnostic challenge of thoracoabdominal stab,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24502014,[Anesthesiological support of surgical intervention on clavi,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24521665,Fatal blunt cardiac injury: are there any subtle indicators?,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24614298,Successful management of severe flail chest via early operat,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24640358,[Limited open reduction and double plates internal fixation ,WP: No rib fracture focus,,,,,
EXCLUDE,24738209,"[Osteosyntesis of ribs using the technology ""matrix rib"" in ",NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,24882301,Thoracoscopy-assisted minimally invasive surgical stabilizat,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24887796,Prospective clinical trial of surgical intervention for pain,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,24899593,Successful operative rib fixation of traumatic flail chest i,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25069400,Quality of life after major trauma with multiple rib fractur,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25159250,Analysis of bone healing in flail chest injury: do we need t,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25193951,Functional results after chest wall stabilization with a new,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25214971,Memory alloy embracing fixator in treatment of multiple frac,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25255725,Stabilization of multiple rib fractures in a canine model.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25270323,Rib plating of acute and sub-acute non-union rib fractures i,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25301418,"Subepicardial haematoma, a rare and potentially lethal compl",CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25316002,Severe thoracic spinal fracture-dislocation without neurolog,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25403887,Use of a 90 degrees  drill and screwdriver for rib fracture ,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,25425610,Surgical treatment of flail chest and rib fractures.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25463426,Outcomes after operative management of symptomatic rib nonun,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25468091,An unexpected complication of titanium rib clips.,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25536214,Triple and quadruple disruptions of the superior shoulder su,WP: No rib fracture focus,,,,,
EXCLUDE,25639044,[Early microsurgical management of clavicular fracture combi,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25642282,A feasibility study of 60 consecutive patients operated for ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25710423,Utility of three-dimensional computed tomography for the sur,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25748665,[Sternal fractures and their surgical treatment].,WP: No rib fracture focus,,,,,
EXCLUDE,25760183,Use of porcine dermal allograft to prevent pulmonary herniat,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25831912,Surgical treatment of dislocated fracture of the scapula col,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25875089,The surgical stabilization of multiple rib fractures using t,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,25982604,[Unstable thorax fixation with bioabsorbable plates and scre,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26031254,Anterior chest wall disassociation: a pattern associated wit,WP: No rib fracture focus,,,,,
EXCLUDE,26033132,Technique for repair of fractures and separations involving ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26096325,Use of a titanium alloy (Chest Way) in the surgical stabiliz,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26118783,[Rib cage ostheosynthesis. Literature review and case report,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26222250,Surgical versus nonsurgical interventions for flail chest.,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,26246061,[The elderly patient with multiple rib fractures].,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26273137,The Immediate Intramedullary Nailing Surgery Increased the M,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26324411,Effectiveness of surgical rib fixation on prolonged mechanic,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,2633931,Rib fracture healing after osteosynthesis with wire mesh tit,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,26370635,Surgical stabilisation in a 13-year-old boy with traumatic f,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26402525,In-hospital outcomes and costs of surgical stabilization ver,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,2648015,Occult diaphragmatic injury from stab wounds to the lower ch,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26506935,Blunt thoracic aortic injury with small pseudoaneurysm may b,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26516736,"[Surgical Stabilisation of Flail Chest Injury: Indications, ",CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26539928,Blunt thoracic trauma: recent advances and outstanding quest,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26556021,[Surgical treatment of acromioclavicular dislocation: Tensio,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26693119,Stabilization of Flail Chest and Fractured Sternum by Minima,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26733094,Fixation of a human rib by an intramedullary telescoping spl,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26763839,The Usefulness of Early Surgical Rib Stabilization in Flail ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26802843,"Load Sharing, not Load Bearing Plates: Lessons Learned from ",NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,26816247,Surgical stabilization of flail chest: the impact on postope,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26848471,Rib Fracture Fixation Restores Inspiratory Volume and Peak F,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26891160,Infected hardware after surgical stabilization of rib fractu,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,26899958,Open reduction and internal fixation of rib fractures in pol,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27067863,First case of a left atrial dissection after transcatheter a,WP: No rib fracture focus,,,,,
EXCLUDE,27084543,Stabilization of flail chest injuries: minimized approach te,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27099054,Displacement Patterns of Blunt Rib Fractures and Their Relat,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,2715037,[Surgical treatment of the unstable thorax in respiratory in,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27158007,Spontaneous healing of large cortical defects in long bones:,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27206779,New technique for fixing rib fracture with bioabsorbable pla,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,27215708,Operative versus Nonoperative Management of Multiple Rib Fra,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27224037,A Technique to Allow Prone Positioning in the Spine Surgery ,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,27272917,Evaluation of efficacy and indications of surgical fixation ,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27307787,Surgical treatment of multiple rib fractures and flail chest,NO MATCH: Doesn't meet PICO criteria,,,,,
EXCLUDE,27355282,Clinical Outcomes of Surgical Stabilization of Flail Chest I,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27359278,Factors Associated With Narcotic Use After Clavicle Fracture,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27366436,The Decrease of the Duration of Stay in the ICU with Rib Fix,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27387790,Natural history of medial clavicle fractures.,WP: No rib fracture focus,,,,,
EXCLUDE,27461999,Nonoperative management of grade III blunt thoracic aortic i,CLEAR: Animal/cadaver/pediatric/case report,,,,,
EXCLUDE,27482027,Management of rib fractures in traumatic flail chest: a meta,CLEAR: Animal/cadaver/pediatric/case report,,,,,
